t_epoch,discharge_mw,remaining_mwh
1783115272.584,28285.0,39536.0
1783115273.670,28285.0,39536.0
1783115274.496,28285.0,39536.0
1783115275.324,28285.0,39536.0
1783115276.482,28285.0,39536.0
1783115277.605,28285.0,39536.0
1783115278.787,28285.0,39536.0
1783115279.976,28285.0,39536.0
1783115281.234,37532.0,37550.0
1783115282.179,37889.0,37530.0
1783115283.470,37889.0,37530.0
1783115284.418,37889.0,37530.0
1783115285.833,37889.0,37530.0
1783115286.874,37889.0,37530.0
1783115287.933,37889.0,37530.0
1783115288.975,37889.0,37530.0
1783115290.107,37889.0,37530.0
1783115291.296,37889.0,37530.0
1783115292.371,37889.0,37530.0
1783115293.417,37889.0,37530.0
1783115294.462,35512.0,37430.0
1783115295.512,35512.0,37430.0
1783115296.563,35512.0,37430.0
1783115297.678,35512.0,37430.0
1783115298.713,35512.0,37430.0
1783115299.781,35512.0,37430.0
1783115300.914,35512.0,37430.0
1783115302.078,35512.0,37430.0
1783115303.159,35512.0,37430.0
1783115304.357,35512.0,37430.0
1783115305.433,35512.0,37430.0
1783115306.554,35512.0,37430.0
1783115308.159,30702.0,37310.0
1783115309.804,30702.0,37310.0
1783115310.877,29993.0,37300.0
1783115311.954,29993.0,37300.0
1783115313.047,29993.0,37300.0
1783115314.283,29993.0,37300.0
1783115315.832,29993.0,37300.0
1783115317.266,29993.0,37300.0
1783115318.404,29993.0,37300.0
1783115319.428,29993.0,37300.0
1783115320.505,29993.0,37300.0
1783115321.557,29993.0,37300.0
1783115322.575,29993.0,37300.0
1783115323.589,29993.0,37300.0
1783115324.710,29993.0,37300.0
1783115325.758,29993.0,37300.0
1783115326.834,29993.0,37300.0
1783115327.880,29993.0,37300.0
1783115328.928,29993.0,37300.0
1783115330.032,29993.0,37300.0
1783115331.075,29993.0,37300.0
1783115332.113,29993.0,37300.0
1783115333.164,29993.0,37300.0
1783115334.190,29993.0,37300.0
1783115335.208,29993.0,37300.0
1783115336.389,29993.0,37300.0
1783115337.409,29993.0,37300.0
1783115338.488,29993.0,37300.0
1783115339.532,29993.0,37300.0
1783115340.581,29993.0,37300.0
1783115341.756,29993.0,37300.0
1783115342.798,29993.0,37300.0
